cluster,keyword,intent,volume,kd,cpc_usd,recommended_action,page_target,serp_features,updated
F. Solopreneur / gig / 1099 tax questions,can you file a dog on your taxes,"Informational, Commercial",110,19,0.0,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,do i have to pay taxes on selling personal items,"Informational, Commercial",110,23,0.0,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,do you have to pay taxes on gofundme donations,"Informational, Commercial",110,29,0.0,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
G. AI and the future of accounting (differentiation angle),will accounting jobs be replaced by ai,"Informational, Commercial",170,19,1.78,"write post — reinforces 'real human, not a bot' positioning",new post: /blog/will-ai-replace-your-accountant,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches",4 weeks
G. AI and the future of accounting (differentiation angle),how will ai affect accounting jobs,"Informational, Commercial",110,26,0.86,"write post — reinforces 'real human, not a bot' positioning",new post: /blog/will-ai-replace-your-accountant,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",3 weeks
H. Sales tax — general small business (light coverage),when is nys sales tax due,"Informational, Transactional",170,26,2.38,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Related searches",3 weeks
H. Sales tax — general small business (light coverage),when is florida sales tax due,"Informational, Transactional",170,28,1.16,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Related searches",1 month
H. Sales tax — general small business (light coverage),do i charge sales tax on services in texas,"Informational, Transactional",140,18,8.22,cover in Shopify post + Services page notes,existing pages,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",3 weeks
H. Sales tax — general small business (light coverage),can you tax labor,"Informational, Commercial",140,25,0.0,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
H. Sales tax — general small business (light coverage),is labor taxed in florida,"Informational, Commercial",140,9,0.0,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Related searches",1 month
H. Sales tax — general small business (light coverage),when is sales tax due in california,Transactional,110,25,5.1,cover in Shopify post + Services page notes,existing pages,"AI Overview, Reviews, Video, People also ask, Related searches",1 month
H. Sales tax — general small business (light coverage),when is ny sales tax due,"Informational, Transactional",110,21,1.82,cover in Shopify post + Services page notes,existing pages,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
H. Sales tax — general small business (light coverage),can you charge tax on labor,Commercial,110,25,0.0,cover in Shopify post + Services page notes,existing pages,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",4 weeks
H. Sales tax — general small business (light coverage),can you tax on labor,Commercial,110,26,0.0,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Related searches",1 month
H. Sales tax — general small business (light coverage),do contractors charge sales tax on labor in ny,"Informational, Transactional",110,13,0.0,cover in Shopify post + Services page notes,existing pages,"AI Overview, Video, People also ask, Related searches",3 weeks
H. Sales tax — general small business (light coverage),do you charge tax on labor,"Informational, Commercial",110,12,0.0,cover in Shopify post + Services page notes,existing pages,"AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom",1 month
